,date,result,teams,score,formation
5,"Sep 16, 2017 ",W,"[Getafe , Barcelona]",1 - 2,433
6,"Sep 19, 2017 ",W,"[Barcelona, Eibar ]",6 - 1,433
7,"Sep 23, 2017 ",W,"[Girona , Barcelona]",0 - 3,442
8,"Sep 27, 2017 ",W,"[Sporting CP , Barcelona]",0 - 1,442
9,"Oct 1, 2017 ",W,"[Barcelona, Las Palmas ]",3 - 0,442
10,"Oct 14, 2017 ",D,"[Atletico Madrid , Barcelona ]",1 - 1,442
11,"Oct 18, 2017 ",W,"[Barcelona, Olympiakos ]",3 - 1,433
12,"Oct 21, 2017 ",W,"[Barcelona, Málaga ]",2 - 0,442
13,"Oct 24, 2017 ",W,"[Real Murcia , Barcelona]",0 - 3,None
14,"Oct 28, 2017 ",W,"[Athletic , Barcelona]",0 - 2,442
15,"Oct 31, 2017 ",D,"[Olympiakos , Barcelona ]",0 - 0,442
16,"Nov 4, 2017 ",W,"[Barcelona, Sevilla FC ]",2 - 1,442
17,"Nov 18, 2017 ",W,"[Leganés , Barcelona]",0 - 3,442
18,"Nov 22, 2017 ",D,"[Juventus , Barcelona ]",0 - 0,4231
19,"Nov 26, 2017 ",D,"[Valencia , Barcelona ]",1 - 1,442
20,"Nov 29, 2017 ",W,"[Barcelona, Real Murcia ]",5 - 0,None
21,"Dec 2, 2017 ",D,"[Barcelona , Celta ]",2 - 2,41212
22,"Dec 5, 2017 ",W,"[Barcelona, Sporting CP ]",2 - 0,433
23,"Dec 10, 2017 ",W,"[Villarreal , Barcelona]",0 - 2,442
24,"Dec 17, 2017 ",W,"[Barcelona, Deportivo ]",4 - 0,442
25,"Dec 23, 2017 ",W,"[Real Madrid , Barcelona]",0 - 3,442
26,"Jan 4, 2018 ",D,"[Celta , Barcelona ]",1 - 1,None
27,"Jan 7, 2018 ",W,"[Barcelona, Levante ]",3 - 0,442
28,"Jan 11, 2018 ",W,"[Barcelona, Celta ]",5 - 0,None
29,"Jan 14, 2018 ",W,"[Real Sociedad , Barcelona]",2 - 4,442
30,"Jan 17, 2018 ",L,"[Espanyol, Barcelona ]",1 - 0,None
31,"Jan 21, 2018 ",W,"[Real Betis , Barcelona]",0 - 5,442
32,"Jan 25, 2018 ",W,"[Barcelona, Espanyol ]",2 - 0,None
33,"Jan 28, 2018 ",W,"[Barcelona, Alavés ]",2 - 1,442
34,"Feb 1, 2018 ",W,"[Barcelona, Valencia ]",1 - 0,None
35,"Feb 4, 2018 ",D,"[Espanyol , Barcelona ]",1 - 1,433
36,"Feb 8, 2018 ",W,"[Valencia , Barcelona]",0 - 2,None
37,"Feb 11, 2018 ",D,"[Barcelona , Getafe ]",0 - 0,442
38,"Feb 17, 2018 ",W,"[Eibar , Barcelona]",0 - 2,41212
39,"Feb 20, 2018 ",D,"[Chelsea , Barcelona ]",1 - 1,442
40,"Feb 24, 2018 ",W,"[Barcelona, Girona ]",6 - 1,442
41,"Mar 1, 2018 ",D,"[Las Palmas , Barcelona ]",1 - 1,442
42,"Mar 4, 2018 ",W,"[Barcelona, Atletico Madrid ]",1 - 0,442
43,"Mar 10, 2018 ",W,"[Málaga , Barcelona]",0 - 2,433
44,"Mar 14, 2018 ",W,"[Barcelona, Chelsea ]",3 - 0,442
45,"Mar 18, 2018 ",W,"[Barcelona, Athletic ]",2 - 0,442
46,"Mar 31, 2018 ",D,"[Sevilla FC , Barcelona ]",2 - 2,433
47,"Apr 4, 2018 ",W,"[Barcelona, Roma ]",4 - 1,442
48,"Apr 7, 2018 ",W,"[Barcelona, Leganés ]",3 - 1,4231
49,"Apr 10, 2018 ",L,"[Roma, Barcelona ]",3 - 0,442
50,"Apr 14, 2018 ",W,"[Barcelona, Valencia ]",2 - 1,442
51,"Apr 17, 2018 ",D,"[Celta , Barcelona ]",2 - 2,4231
52,"Apr 21, 2018 ",W,"[Sevilla FC , Barcelona]",0 - 5,None
53,"Apr 29, 2018 ",W,"[Deportivo , Barcelona]",2 - 4,433
54,"May 6, 2018 ",D,"[Barcelona , Real Madrid ]",2 - 2,442
55,"May 9, 2018 ",W,"[Barcelona, Villarreal ]",5 - 1,433
56,"May 13, 2018 ",L,"[Levante, Barcelona ]",5 - 4,4231
57,"May 20, 2018 ",W,"[Barcelona, Real Sociedad ]",1 - 0,433
0,"Aug 17, 2016 ",W,"[Barcelona, Sevilla FC ]",3 - 0,433
1,"Aug 20, 2016 ",W,"[Barcelona, Real Betis ]",6 - 2,433
2,"Aug 28, 2016 ",W,"[Athletic , Barcelona]",0 - 1,433
